cluster_id,topic,cluster_status,cluster_source_refs,cluster_updated_at,report_id,report_status,report_updated_at
kcl-99265a40c66f3d28,"Philschmid: MCP and agent infrastructure",candidate,2,2026-06-29T12:03:47.261038+00:00,krpt-2de64e3990c99b28,draft,2026-06-29T12:48:40.606297+00:00
kcl-99265a40c66f3d28,"Philschmid: MCP and agent infrastructure",candidate,2,2026-06-29T12:03:47.261038+00:00,krpt-774010cd43664bb4,draft,2026-06-29T12:03:47.262565+00:00
kcl-4e3b86dcac9fc965,"Ollama: release and launch activity",candidate,2,2026-06-29T12:03:47.070032+00:00,krpt-73300066285bfda4,draft,2026-06-29T12:46:31.917208+00:00
kcl-4e3b86dcac9fc965,"Ollama: release and launch activity",candidate,2,2026-06-29T12:03:47.070032+00:00,krpt-055858f7fe9d220b,draft,2026-06-29T12:03:47.071548+00:00
kcl-89694347c77d6c64,"Nomic Ai: model release activity",candidate,2,2026-06-29T12:03:46.877657+00:00,krpt-bdb7312791ad3564,draft,2026-06-29T12:48:40.653089+00:00
kcl-89694347c77d6c64,"Nomic Ai: model release activity",candidate,2,2026-06-29T12:03:46.877657+00:00,krpt-b7445d905c736e78,draft,2026-06-29T12:03:46.879066+00:00
kcl-bc5c9a8a52404661,"Nomic Ai: benchmarks and evaluation",candidate,2,2026-06-29T12:03:46.680030+00:00,krpt-bb147f43100bf3e4,draft,2026-06-29T12:48:40.897223+00:00
kcl-bc5c9a8a52404661,"Nomic Ai: benchmarks and evaluation",candidate,2,2026-06-29T12:03:46.680030+00:00,krpt-e1d80a35cdd82e8b,draft,2026-06-29T12:03:46.681529+00:00
kcl-f09f96f488dade0b,"Neuml: benchmarks and evaluation",candidate,2,2026-06-29T12:03:46.455514+00:00,krpt-2f236ea11f28bec8,draft,2026-06-29T12:50:48.274391+00:00
kcl-f09f96f488dade0b,"Neuml: benchmarks and evaluation",candidate,2,2026-06-29T12:03:46.455514+00:00,krpt-0eca1a02459858ed,draft,2026-06-29T12:03:46.457193+00:00
kcl-4202608b762183e1,"Mozilla Ai: model release activity",candidate,2,2026-06-29T12:03:46.224839+00:00,krpt-944884584608ab1f,draft,2026-06-29T12:45:25.845297+00:00
kcl-4202608b762183e1,"Mozilla Ai: model release activity",candidate,2,2026-06-29T12:03:46.224839+00:00,krpt-96696ec327d521cc,draft,2026-06-29T12:03:46.226251+00:00
kcl-5d18319ab13e912c,"Modelscope: benchmarks and evaluation",candidate,2,2026-06-29T12:03:46.026979+00:00,krpt-642c128dbbcc3e94,draft,2026-06-29T12:45:25.987863+00:00
kcl-5d18319ab13e912c,"Modelscope: benchmarks and evaluation",candidate,2,2026-06-29T12:03:46.026979+00:00,krpt-dcacc49dfbba5762,draft,2026-06-29T12:03:46.028602+00:00
kcl-e91da5c561a2be2f,"Modal Labs: model release activity",candidate,2,2026-06-29T12:03:45.824048+00:00,krpt-6756525eedd03d82,draft,2026-06-29T12:51:53.765950+00:00
kcl-e91da5c561a2be2f,"Modal Labs: model release activity",candidate,2,2026-06-29T12:03:45.824048+00:00,krpt-76c2499ed607620f,draft,2026-06-29T12:03:45.825555+00:00
kcl-84b433bb405763bf,"Mlabonne: model release activity",candidate,2,2026-06-29T12:03:45.629087+00:00,krpt-92095a50226ff175,draft,2026-06-29T12:48:40.695733+00:00
kcl-84b433bb405763bf,"Mlabonne: model release activity",candidate,2,2026-06-29T12:03:45.629087+00:00,krpt-357c9df71cae5798,draft,2026-06-29T12:03:45.630579+00:00
kcl-fd8d9b1e7bd8cc59,"Ml Explore: model release activity",candidate,2,2026-06-29T12:03:45.430165+00:00,krpt-b1cd139118077db1,draft,2026-06-29T12:03:45.431628+00:00
kcl-5921464bef277063,"Milvus Io: model release activity",candidate,2,2026-06-29T12:03:45.221187+00:00,krpt-bf709a4d5569d4bd,draft,2026-06-29T12:03:45.222787+00:00
kcl-809a1b2593cadcb1,"Mem0ai: model release activity",candidate,2,2026-06-29T12:03:45.014286+00:00,krpt-765b90f36fd97bf0,draft,2026-06-29T12:46:32.010653+00:00
kcl-809a1b2593cadcb1,"Mem0ai: model release activity",candidate,2,2026-06-29T12:03:45.014286+00:00,krpt-a92656c186b76618,draft,2026-06-29T12:03:45.015785+00:00
kcl-00c43cd5020fec04,"Mckaywrigley: AI usage practices",candidate,2,2026-06-29T12:03:44.793803+00:00,krpt-9eae72f0f32a59c5,draft,2026-06-29T12:03:44.795266+00:00
kcl-be74186f4ac431c9,"Teknium1: AI usage practices",candidate,3,2026-06-29T12:03:44.599754+00:00,krpt-b9829f5684081b1b,draft,2026-06-29T12:48:40.938106+00:00
kcl-be74186f4ac431c9,"Teknium1: AI usage practices",candidate,3,2026-06-29T12:03:44.599754+00:00,krpt-09bee111cbc4ee51,draft,2026-06-29T12:03:44.602291+00:00
kcl-2f5b56966468e148,"Stanford Crfm: benchmarks and evaluation",candidate,3,2026-06-29T12:03:44.319476+00:00,krpt-5aa2dc14279d225d,draft,2026-06-29T12:43:17.939888+00:00
kcl-2f5b56966468e148,"Stanford Crfm: benchmarks and evaluation",candidate,3,2026-06-29T12:03:44.319476+00:00,krpt-53fe8d73dfbfe963,draft,2026-06-29T12:03:44.322122+00:00
kcl-c0f092fda9bec199,"Rasbt: model release activity",candidate,3,2026-06-29T12:03:44.029864+00:00,krpt-411a99f10f817f0f,draft,2026-06-29T12:49:42.381598+00:00
kcl-c0f092fda9bec199,"Rasbt: model release activity",candidate,3,2026-06-29T12:03:44.029864+00:00,krpt-6cc2948147de8e32,draft,2026-06-29T12:03:44.032608+00:00
kcl-d758e8c88eb23e0a,"Princeton Nlp: benchmarks and evaluation",candidate,3,2026-06-29T12:03:43.739806+00:00,krpt-0e199aac56d1e4db,draft,2026-06-29T12:03:43.748777+00:00
kcl-17d2e0735d5aafb6,"Plandex Ai: AI usage practices",candidate,3,2026-06-29T12:03:43.442217+00:00,krpt-0b55b0ca7392b2c3,draft,2026-06-29T12:03:43.444918+00:00
